MsgID.LOCAL_POSITION,9.1000000,0.0309923,-0.0688868,-0.0696235
MsgID.LOCAL_VELOCITY,9.1000000,-0.0000053,0.0003014,-0.0065273
MsgID.GLOBAL_POSITION,0.0000000,-122.3957535,37.7932812,0.0530000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0100000,-0.1500000
MsgID.LOCAL_POSITION,9.3500000,-0.0569917,-0.1782239,-0.0534066
MsgID.LOCAL_VELOCITY,9.3500000,0.0025639,0.0157836,-0.1517140
MsgID.GLOBAL_POSITION,0.0000000,-122.3957516,37.7932800,0.0620000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0300000,-0.2000000
MsgID.LOCAL_POSITION,9.6000000,-0.1855335,-0.0068297,-0.0627336
MsgID.LOCAL_VELOCITY,9.6000000,0.0154436,0.0322725,-0.2038834
MsgID.GLOBAL_POSITION,0.0000000,-122.3957517,37.7932808,0.0760000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,0.0300000,-0.1700000
MsgID.LOCAL_POSITION,9.8500000,-0.0944386,-0.0210789,-0.0768235
MsgID.LOCAL_VELOCITY,9.8500000,0.0282337,0.0370630,-0.1784348
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957515,37.7932817,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932818,0.0790000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,0.0300000,-0.0600000
MsgID.LOCAL_POSITION,10.1000000,0.0130062,-0.0031561,-0.0791461
MsgID.LOCAL_VELOCITY,10.1000000,0.0237376,0.0345032,-0.0681458
MsgID.GLOBAL_POSITION,0.0000000,-122.3957521,37.7932819,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0200000,-0.0600000
MsgID.LOCAL_POSITION,10.3500000,0.0187170,-0.0556723,-0.0821353
MsgID.LOCAL_VELOCITY,10.3500000,0.0143431,0.0277936,-0.0636930
MsgID.GLOBAL_POSITION,0.0000000,-122.3957524,37.7932816,0.0860000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0300000,0.0700000
MsgID.LOCAL_POSITION,10.6000000,-0.0125082,-0.0845019,-0.0865591
MsgID.LOCAL_VELOCITY,10.6000000,0.0105084,0.0316899,0.0785472
MsgID.GLOBAL_POSITION,0.0000000,-122.3957510,37.7932804,0.0900000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0300000,0.0800000
MsgID.LOCAL_POSITION,10.8500000,-0.1408818,0.0453761,-0.0908462
MsgID.LOCAL_VELOCITY,10.8500000,0.0142336,0.0331654,0.0828532
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957515,37.7932817,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957509,37.7932804,0.0990000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,0.0200000,0.0800000
MsgID.LOCAL_POSITION,11.1000000,-0.1415027,0.0553826,-0.0997154
